Tipo de Movimiento;Planta;GUIA SII;Fecha;Mes;ID;Proveedor;Lote;Title;Nombre;Cod Nombre;Clasificacion;Total Pallet;Cantidad;Unidad de medida;Bod. Origen;Bod. Destino;Ubicacion Origen;Ubicación Destino;Turno;Responsable;Temporada;Observacion;Bodega Stock;Ubicacion Stock;Total Stock;Numero Embarque;Patente Camion,,,,,,
Despacho;Rancagua;31326;11/30/2024;11;18138;;CTAB1211;CTAB1211;ABSORPAD 10 KG 360 MM X 560 MM BILAMINAR;CTAB1211 ABSORPAD 10 KG 360 MM X 560 MM BILAMINAR;Por armar;8;4;UNIDAD;RANCO;GREENPACK;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA DOS (C2);-4;;,,,,,,
Despacho;Rancagua;15684;1/21/2025;1;57628;;32120;CTAB1211;ABSORPAD 10 KG 360 MM X 560 MM BILAMINAR;CTAB1211 ABSORPAD 10 KG 360 MM X 560 MM BILAMINAR;Por armar;1;10;UNIDAD;RANCO;CHIMBARONGO;BODEGA PLANTA;BODEGA PLANTA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;BODEGA PLANTA;-10;;,,,,,,
Despacho;Rancagua;30284;10/16/2024;10;2302;;17-10-2024;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;21;100,8;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA UNO (C1);-100,8;;,,,,
Despacho;Rancagua;30297;10/20/2024;10;2538;;RKMBPV24295;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;336;10,752;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA UNO (C1);-10,752;;,,,,
Despacho;Rancagua;30304;10/22/2024;10;2617;;RKMBPV24296;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;336;2,352;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA UNO (C1);-2,352;;,,,,
Despacho;Rancagua;30304;10/22/2024;10;2621;;RKMBPV24295;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;336;8,4;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA UNO (C1);-8,4;;,,,,
Despacho;Rancagua;30319;10/23/2024;10;2875;;RKMBPV24296;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;40;6,72;UNIDAD;RANCO;SUPERFRUIT;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;BODEGA PLANTA;-6,72;;,,,,
Despacho;Rancagua;30319;10/23/2024;10;2887;;RKMBPV24297;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;24;4,032;UNIDAD;RANCO;SUPERFRUIT;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;BODEGA PLANTA;-4,032;;,,,,
Despacho;Rancagua;30338;10/28/2024;10;3684;;RKMBPR24302;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;32;10,752;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-10,752;;,,,,
Despacho;Rancagua;15232;10/29/2024;10;3996;;24302;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;17;5,712;UNIDAD;RANCO;SUPERFRUIT;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA DOS (C2);-5,712;;,,,,
